billing_account_id,service,sku,usage_start_time,usage_end_time,project,labels,system_labels,location,tags,price,transaction_type,seller_name,export_time,cost,currency,currency_conversion_rate,usage,credits,invoice,cost_type,adjustment_info,cost_at_list,cost_at_effective_price_default,cost_at_list_consumption_model,consumption_model
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 14:00:00.000000 UTC,2025-10-28 15:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""fah-deletion-policy"",
    ""value"": ""v1-0""
  }, {
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 21:50:08.173847 UTC,3.3e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""1489392243900.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000517886"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",4.4e-05,3.3e-05,4.4e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 16:00:00.000000 UTC,2025-10-28 17:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""fah-deletion-policy"",
    ""value"": ""v1-0""
  }, {
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 23:38:44.585066 UTC,3.6e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""1601975644946.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000557033"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",4.7e-05,3.6e-05,4.7e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 15:00:00.000000 UTC,2025-10-28 16:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""fah-deletion-policy"",
    ""value"": ""v1-0""
  }, {
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 23:38:44.585066 UTC,3.6e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""1601975644947.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000557033"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",4.7e-05,3.6e-05,4.7e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 13:00:00.000000 UTC,2025-10-28 14:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""fah-deletion-policy"",
    ""value"": ""v1-0""
  }, {
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 21:50:08.173847 UTC,3.6e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""1601975523766.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000557033"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",4.7e-05,3.6e-05,4.7e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 14:00:00.000000 UTC,2025-10-28 15:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""fah-deletion-policy"",
    ""value"": ""v1-0""
  }, {
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 23:38:44.585066 UTC,2e-06,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""112583288381.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""3.9147e-05"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",3e-06,2e-06,3e-06,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 17:00:00.000000 UTC,2025-10-28 18:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""fah-deletion-policy"",
    ""value"": ""v1-0""
  }, {
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 23:38:44.585066 UTC,1.8e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""833472328606.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000289812"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",2.4e-05,1.8e-05,2.4e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""152E-C115-5142"",
    ""description"": ""Cloud Run""
  }
}","{
  ""sku"": {
    ""id"": ""0CCB-7057-48DE"",
    ""description"": ""Cloud Run GOOGLE-API Data Transfer Out""
  }
}",2025-10-28 13:00:00.000000 UTC,2025-10-28 14:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0"",
    ""tier_start_amount"": ""0"",
    ""unit"": ""gibibyte"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0"",
    ""effective_price_default"": ""0"",
    ""list_price_consumption_model"": ""0""
  }
}",GOOGLE,Google,2025-10-28 17:31:12.435085 UTC,0.0,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""6138.0"",
    ""unit"": ""bytes"",
    ""amount_in_pricing_units"": ""5.716e-06"",
    ""pricing_unit"": ""gibibyte""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",0.0,0.0,0.0,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""152E-C115-5142"",
    ""description"": ""Cloud Run""
  }
}","{
  ""sku"": {
    ""id"": ""2DA5-55D3-E679"",
    ""description"": ""Requests""
  }
}",2025-10-28 13:00:00.000000 UTC,2025-10-28 14:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0"",
    ""tier_start_amount"": ""0"",
    ""unit"": ""count"",
    ""pricing_unit_quantity"": ""1000000"",
    ""list_price"": ""0"",
    ""effective_price_default"": ""0"",
    ""list_price_consumption_model"": ""0""
  }
}",GOOGLE,Google,2025-10-28 17:31:12.435085 UTC,0.0,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""1.0"",
    ""unit"": ""requests"",
    ""amount_in_pricing_units"": ""1.0"",
    ""pricing_unit"": ""count""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",0.0,0.0,0.0,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""152E-C115-5142"",
    ""description"": ""Cloud Run""
  }
}","{
  ""sku"": {
    ""id"": ""4856-B847-F1EB"",
    ""description"": ""Services CPU (Request-based billing)""
  }
}",2025-10-28 13:00:00.000000 UTC,2025-10-28 14:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.00001561"",
    ""tier_start_amount"": ""0"",
    ""unit"": ""second"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.000020539"",
    ""effective_price_default"": ""0.00001561"",
    ""list_price_consumption_model"": ""0.000020539""
  }
}",GOOGLE,Google,2025-10-28 17:31:12.435085 UTC,0.000123,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""7.90958"",
    ""unit"": ""seconds"",
    ""amount_in_pricing_units"": ""7.90958"",
    ""pricing_unit"": ""second""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",0.000162,0.000123,0.000162,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""152E-C115-5142"",
    ""description"": ""Cloud Run""
  }
}","{
  ""sku"": {
    ""id"": ""4856-B847-F1EB"",
    ""description"": ""Services CPU (Request-based billing)""
  }
}",2025-10-28 13:00:00.000000 UTC,2025-10-28 14:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""assethub-nnwh4"",
    ""number"": ""790442640880"",
    ""name"": ""AssetHub"",
    ""labels"": [{
      ""key"": ""firebase"",
      ""value"": ""enabled""
    }, {
      ""key"": ""firebase-core"",
      ""value"": ""disabled""
    }, {
      ""key"": ""monospace-workspace-id"",
      ""value"": ""studio-9692193947""
    }],
    ""ancestry_numbers"": ""/432673294728/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/790442640880"",
      ""display_name"": ""AssetHub""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": [{
    ""key"": ""goog-managed-by"",
    ""value"": ""firebase-app-hosting""
  }]
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us-central1"",
    ""country"": ""US"",
    ""region"": ""us-central1"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.00001561"",
    ""tier_start_amount"": ""0"",
    ""unit"": ""second"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.000020539"",
    ""effective_price_default"": ""0.00001561"",
    ""list_price_consumption_model"": ""0.000020539""
  }
}",GOOGLE,Google,2025-10-28 18:33:50.550893 UTC,1e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""0.7"",
    ""unit"": ""seconds"",
    ""amount_in_pricing_units"": ""0.7"",
    ""pricing_unit"": ""second""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",1.4e-05,1e-05,1.4e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
