billing_account_id,service,sku,usage_start_time,usage_end_time,project,labels,system_labels,location,tags,price,transaction_type,seller_name,export_time,cost,currency,currency_conversion_rate,usage,credits,invoice,cost_type,adjustment_info,cost_at_list,cost_at_effective_price_default,cost_at_list_consumption_model,consumption_model
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-27 19:00:00.000000 UTC,2025-10-27 20:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""europe-west4"",
    ""country"": ""NL"",
    ""region"": ""europe-west4"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 05:13:04.115683 UTC,2.4e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""1071209088367.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000372477"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",3.1e-05,2.4e-05,3.1e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-27 20:00:00.000000 UTC,2025-10-27 21:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""europe-west4"",
    ""country"": ""NL"",
    ""region"": ""europe-west4"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 05:13:04.115683 UTC,0.00016,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""7101938707400.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.002469458"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",0.000211,0.00016,0.000211,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 01:00:00.000000 UTC,2025-10-28 02:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us"",
    ""country"": ""US"",
    ""region"": null,
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 10:35:24.842588 UTC,4e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""1779789625221.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000618861"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",5.2e-05,4e-05,5.2e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 02:00:00.000000 UTC,2025-10-28 03:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us"",
    ""country"": ""US"",
    ""region"": null,
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 10:20:13.647133 UTC,5.8e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""2595075564893.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000902349"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",7.7e-05,5.8e-05,7.7e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 01:00:00.000000 UTC,2025-10-28 02:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""europe-west4"",
    ""country"": ""NL"",
    ""region"": ""europe-west4"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 10:35:24.842588 UTC,0.00011,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""4870746333129.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.001693637"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",0.000144,0.00011,0.000144,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-28 01:00:00.000000 UTC,2025-10-28 02:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""europe-west4"",
    ""country"": ""NL"",
    ""region"": ""europe-west4"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 09:20:26.245516 UTC,5e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""2231192408372.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000775821"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",6.6e-05,5e-05,6.6e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-27 17:00:00.000000 UTC,2025-10-27 18:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""us"",
    ""country"": ""US"",
    ""region"": null,
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 02:51:07.141975 UTC,1.3e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""597588296552.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000207791"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",1.7e-05,1.3e-05,1.7e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-27 19:00:00.000000 UTC,2025-10-27 20:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""europe-west3"",
    ""country"": ""DE"",
    ""region"": ""europe-west3"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 02:51:07.141975 UTC,1e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""464226679728.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000161419"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",1.3e-05,1e-05,1.3e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-27 18:00:00.000000 UTC,2025-10-27 19:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""europe-west4"",
    ""country"": ""NL"",
    ""region"": ""europe-west4"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 02:51:07.141975 UTC,0.00016,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""7101939078176.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.002469458"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",0.000211,0.00016,0.000211,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
016A23-B44860-7A1B7F,"{
  ""service"": {
    ""id"": ""149C-F9EC-3994"",
    ""description"": ""Artifact Registry""
  }
}","{
  ""sku"": {
    ""id"": ""8502-299A-ABAF"",
    ""description"": ""Artifact Registry Storage""
  }
}",2025-10-27 18:00:00.000000 UTC,2025-10-27 19:00:00.000000 UTC,"{
  ""project"": {
    ""id"": ""agent-sandbox-463107"",
    ""number"": ""1021363897843"",
    ""name"": ""agent-sandbox"",
    ""labels"": [{
      ""key"": ""generative-language"",
      ""value"": ""enabled""
    }],
    ""ancestry_numbers"": ""/432673294728/671090530062/"",
    ""ancestors"": [{
      ""resource_name"": ""projects/1021363897843"",
      ""display_name"": ""agent-sandbox""
    }, {
      ""resource_name"": ""folders/671090530062"",
      ""display_name"": ""sandboxes""
    }, {
      ""resource_name"": ""organizations/432673294728"",
      ""display_name"": ""buildthe.cloud""
    }]
  }
}","{
  ""labels"": []
}","{
  ""system_labels"": []
}","{
  ""location"": {
    ""location"": ""europe-west3"",
    ""country"": ""DE"",
    ""region"": ""europe-west3"",
    ""zone"": null
  }
}","{
  ""tags"": []
}","{
  ""price"": {
    ""effective_price"": ""0.0650408"",
    ""tier_start_amount"": ""0.5"",
    ""unit"": ""gibibyte month"",
    ""pricing_unit_quantity"": ""1"",
    ""list_price"": ""0.08558"",
    ""effective_price_default"": ""0.0650408"",
    ""list_price_consumption_model"": ""0.08558""
  }
}",GOOGLE,Google,2025-10-28 02:51:07.141975 UTC,1.9e-05,EUR,0.85580000000013279,"{
  ""usage"": {
    ""amount"": ""888093726368.0"",
    ""unit"": ""byte-seconds"",
    ""amount_in_pricing_units"": ""0.000308804"",
    ""pricing_unit"": ""gibibyte month""
  }
}","{
  ""credits"": []
}","{
  ""invoice"": {
    ""month"": ""202510"",
    ""publisher_type"": ""GOOGLE""
  }
}",regular,"{
  ""adjustment_info"": {
    ""id"": null,
    ""description"": null,
    ""mode"": null,
    ""type"": null
  }
}",2.6e-05,1.9e-05,2.6e-05,"{
  ""consumption_model"": {
    ""id"": ""7754-699E-0EBF"",
    ""description"": ""Default""
  }
}"
